GlobalEventID,SQLDATE,MonthYear,Year,Actor1Code,Actor1Name,Actor1CountryCode,Actor2Code,Actor2Name,Actor2CountryCode,EventCode,GoldsteinScale,NumMentions,NumArticles,AvgTone,Actor1Geo_Lat,Actor1Geo_Long,Actor2Geo_Lat,Actor2Geo_Long,ActionGeo_Lat,ActionGeo_Long,ActionGeo_CountryCode,ActionGeo_FullName,SOURCEURL
1247164449,20250601,202506,2025,,,,USA,ALASKA,USA,051,3.4,36,36,-0.560689272210001,,,61.385,-152.268,61.385,-152.268,US,"Alaska, United States",https://www.brisbanetimes.com.au/culture/celebrity/valerie-mahaffey-actor-who-played-quirky-villains-dies-aged-71-20250601-p5m3vg.html
1247164514,20250601,202506,2025,CAN,CANADA,CAN,CVL,TRAVELLER,,040,1.0,2,2,-1.08303249097473,60,-96,60,-96,60,-96,CA,Canada,https://www.theboltonnews.co.uk/news/25205666.shapi-lapena-trevor-wood-bolton-mark-national-crime-month/
1247164595,20250601,202506,2025,CVL,TRAVELLER,,CAN,CANADA,CAN,040,1.0,2,2,-1.08303249097473,60,-96,60,-96,60,-96,CA,Canada,https://www.theboltonnews.co.uk/news/25205666.shapi-lapena-trevor-wood-bolton-mark-national-crime-month/
1247165051,20250601,202506,2025,PSE,GAZA,PSE,USA,NEW YORK,USA,043,2.8,1,1,-4.72222222222222,62,15,42.1497,-74.9384,-25,135,AS,Australia,https://dailycaller.com/2025/05/31/greta-thunbergs-gaza-voyage/
1247165083,20250601,202506,2025,RUS,RUSSIA,RUS,GBR,UNITED KINGDOM,GBR,190,-10.0,12,12,-1.58490487949563,60,100,54.5833,-5.93333,60,100,RS,Russia,https://news.sky.com/story/uk-to-build-weapons-factories-and-buy-thousands-of-missiles-in-1-5bn-push-to-rearm-13377407
1247165084,20250601,202506,2025,RUS,RUSSIA,RUS,GBR,UNITED KINGDOM,GBR,190,-10.0,8,8,-1.58490487949563,60,100,60,100,60,100,RS,Russia,https://news.sky.com/story/uk-to-build-weapons-factories-and-buy-thousands-of-missiles-in-1-5bn-push-to-rearm-13377407
1247165085,20250601,202506,2025,RUS,RUSSIA,RUS,GOV,GOVERNMENT,,071,7.4,4,4,-1.58490487949563,60,100,60,100,60,100,RS,Russia,https://news.sky.com/story/uk-to-build-weapons-factories-and-buy-thousands-of-missiles-in-1-5bn-push-to-rearm-13377407
1247165095,20250601,202506,2025,RUS,RUSSIAN,RUS,USA,THE US,USA,128,-5.0,8,8,-4.04934737920528,55.7522,37.6156,60,-96,60,-96,CA,Canada,https://www.aol.com/trump-foreign-policy-frustrations-piling-221310670.html
1247165096,20250601,202506,2025,RUSGOV,RUSSIA,RUS,USA,THE US,USA,128,-5.0,8,8,-4.04934737920528,39.9289,116.388,60,-96,60,-96,CA,Canada,https://www.aol.com/trump-foreign-policy-frustrations-piling-221310670.html
1247165097,20250601,202506,2025,RUSGOV,RUSSIAN,RUS,USA,THE US,USA,128,-5.0,16,16,-4.04934737920528,55.7522,37.6156,60,-96,60,-96,CA,Canada,https://www.aol.com/trump-foreign-policy-frustrations-piling-221310670.html
